카페명,판정,registry매칭,지역,정보등급,유튜브_언급영상,유튜브_최고조회수,유튜브_요약,주소_Pass1,블로그_유효스니펫,블로그_블로거수,블로그_최신포스트,블로그_총량참고,지역검색_상호,지역검색_업종,지역검색_주소,플래그,스니펫예시
크도,보류,,한림,high,1,271,"루프탑에서 비양도가 보이는 오션뷰가 있으며, 시그니처 메뉴 크림라떼(미니 크루아상 토핑)와 108겹 식빵, 크루아상이 유명하다.",,83,83,20260416,974,,,,,제주 한림 크도 메뉴판 시간만 있으면 카페에서 커피랑 같이 마시고 싶었는데 늦게 와서 패스~ 그리고... 이렇게 종이봉투에 개별적으로 포장해주셨어용 보관방법은 제주 크도의 모든 빵
나솔사계,보류,,사계,low,1,356921,,,95,83,20260703,1178,,,,,"원래 서울이 싫었지만, 제주에 살다보니 이제는 서울 가는 게 너무 좋아졌다며, 장거리 연애 시 자신이 항상 갈 수 있다고 밝혔습니다. 나는 SOLO, 그 후 사랑은 계속된다(나솔사"
오설록 티 뮤지엄 (카페),보류,,서귀포시내,mid,1,76699,카페·선물샵·녹차밭이 함께 있는 장소로 언급됨.,,92,82,20260707,34879,,,,,쇼케이스에 진열되어 있는 여러 가지 종류의 디저트 오설록 티 뮤지엄 티 카페의 메뉴판 우리는 제주올패스로 제주 말차 & 우유 소프트아이스크림을 주문했다. 라운지가 굉장히 넓은 편이
올댓커피,보류,,곽지,low,1,3547,,,83,82,20260614,2597,,,,,제주 애월 올댓커피도 진심 맛있어요. 커피가 맛있어서 커피 좋아하는 분들은 디저트와 함께 다양한 스타일로 즐겨봐도 좋을 것 같아요. 대표메뉴인 올댓커피+바게트! 플랫화이트+카카오+
요아정 (팝업),보류,,애월,high,1,35172,"노희영 대표와 콜라보해 팝업으로 운영되며 '그릭그릭제주' 메뉴(11,900원)를 제공.",제주 제주시 애월읍 애월로1길 24-7,86,77,20260706,1323,,,,,마초스테이크 & 요아정제주팝업스토어 주차 애월 마초스테이크와 요아정 팝업 모두 골목 입구 세븐일레븐 앞 카카오 주차장 주차 시 1 시간 지원 오예~~ 애월카페거리 요거트맛집 요아정
누바비치(바다다),보류,,중문,high,1,10264,인스타그램 운영 카페로 주·야간 영업하며(요일별 상이) 반려동물 동반 및 주차·단체 이용이 가능하다.,제주 서귀포시 대포로 148-15 A동,77,74,20260629,779,,,,,"2.제주 바다다 in 누바비치 누바비치 공간은 바다다 카페 와 함께 돈가도, 물고기상회 이렇게 세곳이 함께 운영하고 있어요. 메인 공간이 바다다 카페인데 오후시간 되면 돈가도 고기"
카페플랜트827,보류,,제주시내,low,1,4056,,,75,69,20260706,192,,,,,"제주도 카페 추천 제주 카페 빵지순례 플랜트827 이번에 제주 여행하면서 진짜 마음에 쏙 드는 곳을 다녀왔어요! 바로 제주공항 근처 카페 예쁜 디저트 카페 플랜트827인데, 여기는"
아베베 베이커리 비킬라,보류,,월정리,low,2,4995,,,68,68,20260628,1187,,,,,카멜커피 제주점과 아베베 베이커리 비킬라였습니다 탁트인 오션뷰를 감상하며 향긋한 커피와 맛난 베이커리까지 여러분들도 꼭 즐겨보고 오세요! 오늘 소개해드린 카페 여행은 팡또의 내돈내
카페 월향재,보류,,남원,mid,1,6038,한옥 공간의 정갈한 분위기에서 말차 시그니처 음료(말차가배)와 바스크 치즈케이크를 즐길 수 있는 말차 전문 카페.,,68,68,20260707,1461,,,,,월향재 : 남원 카페 남원 시내에 자리 잡은 카페 월향재 정확히는 남원 시내 중심지에서 한 블럭 옆으로 빠져있지만 근처 명문제과에서 광한루 내려가는 길에 위치해 있는데 동선 상 위
모멘터리커피,보류,O,김녕,high,1,4704,"돌담 뷰와 정원(야외석)이 있는 감성적인 카페로 시그니처는 플랫 커피(모멘터리 플랫 등, 가격 6,000~6,500원)이며 스콘 등 직접 굽는 ",제주시 구좌읍 김녕로17길 14,72,67,20260704,717,,,,,일산 웨스턴돔 카페 추천 제주 유명 크림커피 맛집 모멘터리커피 후기 일산 웨스턴돔 카페 추천 제주 유명 크림커피 맛집 모멘터리커피 후기 일산 웨스턴돔 카페 추천 제주 유명 크림커피
일과견,보류,,세화,low,1,29631,세화 편의 추천 카페 목록에 포함된 카페.,,76,66,20260520,117,,,,,"18-20, 2025 제주 2박 3일 / DAY 3 오늘은 제주 여행의 마지막 날! 숙소 체크아웃 하고 아침 먹으러 가는 길... 일과견 카페인 수혈하러 카페로 총총 여기도 서치해"
푸파페,보류,,곽지,low,1,61,,,79,64,20260707,296,,,,,"푸파페 제주의 ""놀멍 보멍 먹으멍 지꺼진"" 부제가 확 와닿았답니다. 관심 있으시다면 내년에 함께 가요!! #제주푸파페 #제주국제박람회 #푸드테크 #파밍플러스 #제주체험 #빙떡만들기"
스타벅스 더제주송당파크R점 (Starbucks The Jeju Songdang Park),보류,,구좌,high,1,79313,"주차 가능, 반려동물 동반 불가.",제주 제주시 구좌읍 비자림로 1189,65,63,20260528,1019,,,,,"""세계에서 가장 아름다운 스타벅스""라고 많이 이야기하는 스타벅스. Starbucks Reserve Coffee shop (주소... #스타벅스 #송당 스타벅스 #제주송당파크R점 #"
위미리3760,보류,,위미,high,1,7214,사유지에 위치한 장소로 입장료 없이 관람 가능하며 주차장이 있음.,서귀포시 남원읍 위미리 3760,66,62,20260311,616,,,,,1월 제주도 여행 한국마사회 제주목장 동백꽃길과 위미리 3760 촬영일 : 2025년 12월18일 올해는 기후변화로 인해 동백꽃 개화 시기가 많이 늦어졌어요 12월18일 반신반의 
청수당 애월점 (Cheongsudang Awwol),보류,,애월,high,1,2561,"애월에 위치한 지점으로 매일 영업(10:30-21:00, 20:00 라스트오더)하며 단체 이용·포장·무선인터넷·주차를 제공함.",제주 제주시 애월읍 애월로1길 19,60,59,20260706,237,,,,,청수당은 예전에 서울에 있는 지점도 한번 가봤는데 제주도에서도 보니까 반가운 느낌이 살짝 들었다 ㅋㅋㅋ 제주 애월카페거리 청수당 애월점 - 영업시간 - 매일 10:30 - 21:0
청수당 애월점,보류,,애월,mid,1,469,애월 바다 근처의 감성 디저트 카페로 동양적인 정원 분위기와 사진 촬영하기 좋은 공간을 갖춘 카페.,,60,59,20260706,237,,,,,청수당은 예전에 서울에 있는 지점도 한번 가봤는데 제주도에서도 보니까 반가운 느낌이 살짝 들었다 ㅋㅋㅋ 제주 애월카페거리 청수당 애월점 - 영업시간 - 매일 10:30 - 21:0
오기방,보류,,서귀포시내,mid,1,253,맛이 좋고 넓은 매장과 야외 포토존이 가득해 사진 찍기 좋은 곳.,,60,59,20260108,503,,,,,제주 오기방  제주 제주시 한경면 대한로 860-35 카페 오기방 ☎️ 0507-1339-1313 ⏰️ 10:00 - 20:00  가게 내부에 있음  가게 바로 옆쪽에 있음. 키오
하우스 오브 테디베어,보류,,기타,mid,1,47516,사진찍기 좋은 곰인형과 아기자기한 소품을 판매한다.,,59,58,20250807,10362,,,,,"오랜만에 제주여행와서 가장 여유로운 티타임 시간을 가졌던 공간이었어요. 거기에 대형카페와 테디베어기념품을 제공하는 산방산 카페 하우스오브테디베어카페에서 ! 혼자서 여유롭게, 연인과"
웨이뷰 팡도르,보류,,한림,high,1,1331,한림읍에 위치한 대형 베이커리카페로 1층부터 루프탑까지 있으며 빵과 음료가 인기인 곳이다.,제주 제주시 한림읍 옹포7길 25-3,65,55,20260409,888,,,,,"오늘은 진짜 제가 제주 웨이뷰 카페 후기를 가져왔어요! 저만 그런 거 아니죠? 예쁜 카페는 그냥 지나칠... 뭘 골라야 할지 행복한 고민, 웨이뷰팡도르는 무조건이다! 솔직히 뷰만 "
릿,보류,,제주시내,high,1,9690,"이국적인 이태원 스타일 브런치와 풀드포크 베네딕트, 후무스 & 사워도우 등 시그니처 메뉴가 소개되어 있음.",제주 제주시 복지로1길 13 1층,54,54,20260627,2390,,,,,제주도 브런치 맛집 카페 찾는다면 '릿 REET' 방문해 보세요 글 읽어주셔서 감사합니다 모두 즐거운 브런치 되세요 #제주브런치 #제주브런치맛집 #릿 #제주릿 #제주REET #제주
코코하 카카오패밀리 로이인더정글카밀라스,보류,,세화,high,1,10076,,제주시 구좌읍 구좌로 60,54,53,20250410,280,,,,,"많고 많은 제주도 세화 카페 중에서 꽤나 특색있고 전문적인 에스프레소바 !! 코코하 카카오패밀리 로이인더정글카밀라스 오메,, 이름 한번 길다 길어 ㅋㅋㅋㅋㅋㅋ 그냥 줄여서 세화 코"
울트라마린 협재점,보류,,협재,high,1,46,"바다뷰 대형 카페. 아메리카노 6,000원, 선셋아이스티 7,500원. 영업 11:00~19:00(수·목 정기휴무).",제주 제주시 한경면 일주서로 4611,50,49,20241125,169,,,,,제가 먹은 메뉴는 '당근케익'인데요 울트라마린 협재점 제주 제주시 한경면 일주서로 4611 선셋과 선라이즈 티를 마셨는데 색감이 예쁘더라구요 울트라마린 협재점은 제주도 제주시 한경
아녜스의 앞치마,보류,,월정리,low,1,2374,,,49,48,20260112,869,,,,,아녜스의 앞치마 위치 : 제주 제주시 구좌읍 행원로5길 25 1동1층 운영시간 : 매일 11:00 - 17:00 전화번호 : 0507-1362-022 서울로 돌아가려니 약간 흐려지
컴포터블,보류,,제주시내,low,1,19035,,,48,48,20251112,725,,,,,컴포터블 (영업종료) 블로그에 올리려고 찾아보니 어느새 영업종료… 그럼에도 올리는 이유는 ???... 제주시키 #시키사계점 #제주무드소품샵후기 #제주바이즘 #제주소품샵키티 #제주여
아녜스의앞치마,보류,,구좌,high,1,105802,,제주 제주시 구좌읍 행원로5길 25 1동1층,48,47,20260112,869,,,,,아녜스의 앞치마 위치 : 제주 제주시 구좌읍 행원로5길 25 1동1층 운영시간 : 매일 11:00 - 17:00 전화번호 : 0507-1362-022 서울로 돌아가려니 약간 흐려지
우도(섬) 카페들,보류,,우도,low,1,2753,,,50,47,20260704,3002,,,,,탁 트인 바다 풍경 우도 해안도로는 제주 본섬과는 또 다른 청량하고 맑은 바다 색으로 유명해서 걷거나... 가진 카페들이 많아서 쉬엄쉬엄 들러도 좋아요~ 우도 섬 한 바퀴 완주한 
당포로나인카페앤브런치,보류,,표선,low,1,767,,,45,45,20250426,473,,,,,오션뷰 제주 표선 카페 당포로나인카페앤브런치를 방문했어요 처음에 앞쪽 돈카츠집으로 잘못 들어갔다가 다시 나왔습니다 ㅋㅋ 당포로나인카페앤브런치는 여기 안쪽까지 들어와야 해요 입구에 
카페 아오오 (Cafe Out of Ordinary),보류,O,성산,high,1,79313,"주차 가능, 야외에서 반려동물 동반 가능합니다.",제주 서귀포시 성산읍 환해장성로 75,45,44,20260507,240,,,,,"남편과 제주살이를 하면서 늘 아쉬웠던 동쪽 여행, 오늘 그 빈자리를 가득 채워준 곳이 바로 ‘카페아오오(OUT OF ORDINARY)’였어요. 이름처럼, ‘평범함을 벗어난 특별함’"
당포로나인 카페앤브런치,보류,,표선,high,1,129,"바다 방향 창으로 한눈에 보이는 오션뷰와 넓은 실내·야외석, 다양한 브런치·디저트 메뉴(예: 당포로브런치 16,000원, 크로플 11,000원 ",서귀포시 표선면 표선당포로 9 당포로나인 카페앤브런치,44,44,20250426,473,,,,,오션뷰 제주 표선 카페 당포로나인카페앤브런치를 방문했어요 처음에 앞쪽 돈카츠집으로 잘못 들어갔다가 다시 나왔습니다 ㅋㅋ 당포로나인카페앤브런치는 여기 안쪽까지 들어와야 해요 입구에 
새빌카페,보류,,협재,low,2,90196,,,43,43,20260331,10444,,,,,"실용적인 선물도 많은 제주 새별프렌즈 선물샵이라 구매할 만 했어요. 5. 새빌카페 이어서 새별오름... 아이와 함께하는 제주 여행이라면, 꼭 추천드립니다. #제주새별프렌즈 #제주새"
새빌 카페,보류,,애월,high,1,8547,새별오름 근처 초대형 카페,제주 제주시 애월읍 평화로 1529,43,43,20260331,10444,,,,,"실용적인 선물도 많은 제주 새별프렌즈 선물샵이라 구매할 만 했어요. 5. 새빌카페 이어서 새별오름... 아이와 함께하는 제주 여행이라면, 꼭 추천드립니다. #제주새별프렌즈 #제주새"
아베베베이커리 제주점,보류,,월정리,low,1,75477,,,43,43,20260707,1749,,,,,"날 선물 + 간식 한 번에 해결하기 좋은 곳이라 추천! 한줄평 : 공항 팝업 먹고 기억에 남아서 제주 본점까지 다시 찾게 된 빵맛집✨ 이상 제주 빵지순례, 아베베 베이커리 제주점 "
베이커리 해녀의집,보류,,애월,mid,1,13714,,제주 제주시 애월읍 애월로1길 24-9 1층,42,42,20241225,8108,,,,,한담해안산책로 초입부에 있는 애월카페거리에 새로 생긴 제주 베이커리 전문점이다. 베이커리해녀의... 바로 제주 베이커리 해녀의집 도보 2분거리라서 추천해본다. 여기 들어가는 입구도
카페 고도정,보류,,서귀포시내,low,1,261,,,42,42,20260707,109,,,,,"식사 후에는 제주 카페 고도정으로 자리를 옮겼다. 제주 특유의 느린 공기와 차분한 풍경 속에서 대화는... 카페 창밖으로 제주 특유의 고요한 풍경이 스며들 무렵, 우리는 어느새 오"
낭쿰낭쿰 산방산점,보류,,대정,high,1,4071,,제주 서귀포시 대정읍 영어도시로 74 1층,41,41,20251108,192,,,,,&lt;낭쿰낭쿰 산방산점&gt; • 주소 : 제주 서귀포시 대정읍 영어도시로 74 1층 • 영업시간 : 매일 11:00 ~ 22:00 / 매주 월요일 휴무 • 번호 : 0507-1
세화 카페 (인테리어 예쁜 세화 카페),보류,,세화,low,1,28850,인테리어가 예쁜 세화 지역의 카페로 영상에 소개됨.,,41,41,20260704,210424,,,,,인테리어 및 주차 제주 세화 카페 한라산 오션뷰 동쪽 여행 스팟의 유명한 포토존이 있는 주문 독채와... 포인트 인테리어가 취향저격이었고 좌석들은 독특하게 배치되어있었다 사진 찍기
풍류라운지 청,보류,,서귀포시내,high,1,3253854,"뷰: , 분위기: , 시그니처 메뉴와 가격대: 망고폭탄빙수 21,000원, 웨이팅/혼잡도: , 주차: 바로 앞 주차장 넓음, 좌석 특성: , 영",제주 서귀포시 중산간서로157번길 74 1층 풍류라운지청,42,41,20260112,766,,,,,"ㅎㅎ 서귀포 애플망고빙수 맛집 풍류라운지 청, 리뷰 시작할게용~~ 풍류라운지 청  제주 서귀포시 중산간서로157번길 74 1층 풍류라운지청 ⏰ 매일 10:00 - 23:30  05"
우도 땅콩아이스크림(일반판매처),보류,,우도,low,1,11263,,,42,40,20260704,7473,,,,,"제주 우도에 들어가면 우도 땅콩 아이스크림을 여러 곳에서 만나볼 수 있는데요. 전통의 강호 지미스... 아이스크림도 좋은 편이었습니다. 만드는 과정은 잘 모르겠지만, 일반 아이스크"
오설록티뮤지엄 & 이니스프리 제주하우스,보류,,서귀포시내,low,1,96467,,,39,39,20260619,12810,,,,,"오설록티뮤지엄이랑 이니스프리 제주하우스가 함께 붙어있어서 산책하면서 같이 구경하고 왔다! 오설록 티 뮤지엄 오설록티뮤지엄 바로 앞에 제1주차장이 있고 근처에 2,3주차장이 있으니 "
테라로사 중문 에코라운지 DT점,보류,,중문,low,1,96467,,,39,39,20260624,1631,,,,,테라로사커피 중문 에코라운지 DT점은 제주 ICC와 부영호텔에서 차로 10분 정도 걸리는 거리에 위치한다. 나무가 이쁜 가로수길을 지나다보면 나타나는 테라로사 중문점! 드라이브 스
트라인커피,보류,,조천,low,1,185,,,36,36,20260623,1403,,,,,"제주 제주시 조천읍 와흘상길 32 와흘리 1908번지 0507-1412-9794 11:00 - 17:00 수,목 휴무 딱 봐도 커피가 너무 맛있어 보이지 않나요?~ 크림 한가득 들"
사계의오후,보류,,사계,low,1,264,,,43,36,20260703,61748,,,,,"식빵종류들도 있었는데 비주얼이 너무 먹음직스러워서, 평소에 식빵은 잘 사먹지 않는 편인데도 눈이가더라고요 오후 3시가 넘은 시간에도 새로운 빵이 나오먀 사계의오후의 인기를 느낄 수"
치타델레,보류,,성산,low,1,34217,,,38,35,20260326,606,,,,,다소 곤란하게 느껴질 수 있지만 이 또한 여행의 묘미라 생각하며 가볍게 확인해 보세요! ▼4월 제주도 여행 함께하기 좋은 꽃 명소▼ ▼또 다른 제주 동쪽 공간들▼ & #제주조천카페
규화원,보류,,남원,high,1,1141,화석 박물관인 규화원에서 커피와 베이커리를 즐길 수 있음.,전북 남원시 주천면 산업로 2768,45,35,20260621,70,,,,,남원 규화원이 문을 열었다. 무려 2억5천만 년 전의 원시숲에서 태어난 규화목(Petrified Wood)이 전시되고... 규화목 실내 전시장 겸 카페 규화원 카페 입장료 5천원.
울트라마린,보류,O,협재,low,4,26899,,,33,33,20260527,6480,,,,,"울트라마린 제주 울트라마린 제주 내부는 예상보다 훨씬 넓고 여유로웠다. 전체적으로 노출 콘크리트와 우드톤 가구, 어두운 금속 프레임이 중심이 되는 인테리어였는데, 차가운 소재와 따"
르917,보류,,제주시내,low,1,3288,,,41,33,20260630,235,,,,,"그럼 저의 블랙드레스 위시리스트 를 소개합니다! 포르타피오리(PORTAFIORI) 의 FLUIRE BLACK 판매처 : 포르타피오리(PORTAFIORI) 가격 : 196,000원 "
웨이뷰 협재바다점,보류,,협재,high,1,555,바다 바로 앞의 오션뷰 베이커리 카페로 3층 야외 공간과 포토존(핑크뮬리·황화코스모스)이 있음. 시그니처 팡도르·브라우니와 제주 특산 재료 음료,제주 제주시 한림읍 옹포7길 25-3,32,32,20250729,37,,,,,두 번째 카페 웨이뷰 협재바다점 제주 협재 그리고 한림 근처에 숙소를 마련한 우리. 아가에게 아름다운 제주의 자연을 마음껏 보여주고 싶어서 &lt;한림공원&gt;을 방문했다. 아침
아베베비킬라 베이커리 제주,보류,,구좌,high,1,7483,"오션뷰 베이커리 카페로 뺑오, 페이스트리, 도넛, 크루아상 등 다양한 빵을 제공하며 제주의 특산물을 사용한다. 운영시간 10:00-18:00, ",,32,32,20260110,871,,,,,제주도넛맛집 #제주디저트맛집 #아베베베이커리 #아베베비킬라베이커리 #아베베비킬라 #아베베도넛 #쑥도넛 #레몬크림도넛 #땅콩크림크로와상 #땅콩크림라떼 #제주아메리카노 #카멜커피제주 
제주다원 쉼한모금,보류,,기타,low,1,1768,,,33,31,20260702,74,,,,,제주다원 쉼한모금 제주 서귀포시 산록남로 1246 주차 가능(무료) 서귀포시에 위치한 제주다원은 1996년 설립된 제주도 민간 1호 다원으로 중문관광단지와 가까우면서도 번잡한 관광
클로피,보류,O,서귀포시내,high,1,1107,"견종·무게 상관없이 케이지 없이 입장 가능. 후르츠산도(5.2), 멍쿠키(1.5), 썸머에이드(7.5) 등 메뉴와 빈티지 의류 판매가 있음.",서귀포시 법환동 237,34,30,20240811,120,,,,,"재밌지만 클로피에서 판매하고있는 빈티지의류를 구경하는 것도 또 다른 재미에요 상하의, 모자를 비롯해 양말 등등 다양한 제품들이 준비되어있고 탈의실도 있어서 제주여행 기념으로 하나 "
어반정글,보류,,조천,low,2,44350,,,29,28,20260616,6388,,,,,오늘은 조천 해안도로에 위치한 카페어반정글 이야기를 담아보려 해요ꔷ̥̑.̮ꔷ̥̑  제주 어반정글 카페 정보 주소: 제주 제주시 조천읍 일주동로 1611 운영시간: 11:00~19:
아담원,보류,,남원,high,1,2451,"무료 주차장이 있으며 입장료(14세 이상 1.2만원에 아메리카노 포함)와 운영시간(9:00~17:30, 화요일 휴무), 대형 수목원급 시설(카페",,28,28,20260518,127,,,,,"위치한 아담원. 차를 타고 방문해야 한다. 네이버 예매(예약) 후 방문 했고, 주차 차단기가 내려와 있어... 제주에서 갔던 유람위드북스 북카페분위기를 생각하고 찾은건데.. 북카페"
토오소,보류,,제주시내,low,1,397467,,,41,27,20251220,156,,,,,9월 5일 목요일 1시 반쯤 토오소에 가보았다 비건구움과자는 처음 먹어본다 여기 귀리볼이 맛있다는... 추천 #제주토오소 #제주비건베이커리 #제주구움과자 #제주일중베이커리 #제주비
오기방 카페,보류,,제주시내,low,1,487,,,28,27,20240711,491,,,,,"""오늘을 기억하는 방법"" 제주 서쪽의 숨은 보석, 오기방 카페 제주 서쪽의 청수리에 위치한 디저트 카페 '오기방'은 '오늘을 기억하는 방법' 오기방 이름부터 오늘 하루가 아주 특별"
얼바닉30,보류,,제주시내,low,1,3288,,,32,27,20260704,556,,,,,제주점 방문^^ 저녁은 웨이팅이 너무 많을것 같아서 점심을 노렸습니닷 웨이팅걸고 근처 구경하면되지욧^^ 그냥 지나치기 조큼 힘든 런베뮤 조금만 사봅니다.. 한 30분 기다리고 바로
성창힐,보류,,기타,low,1,224884,,,43,23,20260429,136,,,,,"성창힐】‘룰라’ 이상민, 69억 빚 청산, 20년만 재혼 깜짝 발표, 동료들 난리, 결혼상대자의 정체 https://youtu.be/VjC8OjBmMkw?si=iarr03sxxgt"
나쫌,보류,,중문,low,1,73,,,23,23,20260706,168,,,,,나쫌 하네? 아주 범고래 같고 멋잇구먼 히로링이랑 같이 자유형~ 바다수영 완전 재밋었다!! 지호 없이... 제주와서 처음 가져본 여유랄까... 얘들아 너무 고맙다 집앞 바다도 산책
크랩잭 애월한담해변,보류,,애월,high,1,26116,"노을 질때 방문 추천, 가게 옆으로 해안 산책로가 있고 날씨 좋을 땐 야외 좌석 이용 가능.",제주 제주시 애월읍 애월북서길 56-1 1층 크랩잭,23,23,20260427,83161,,,,,(제주도 가고 싶어서 드릉드릉중) 크랩잭 애월한담해변 제주 제주시 애월읍 애월북서길 56-1 1층 크랩잭 영업시간: 매일 11:30~21:30 ㄴ 브레이크타임 15:30~16:30
수카사,보류,,월정리,low,1,2374,,,22,22,20260629,1474,,,,,꽁냥이에요~ 오늘은 제주에서 브런치로 유명한 수카사가 대구 달서구 상인동에 이전 오픈했다는 소식을 듣고 냉큼 다녀왔습니다! 리뷰 시작해 볼게요~ 아보카도 에그 베네딕트가 너무 궁금
나만 알고 싶은 카페,보류,,조천,low,1,62117,,,24,22,20260702,522148,,,,,정말 나만 알고 싶은 카페였다. 제주 서귀포에서 아름다운 정원과 함께 제주의 자연을 온전히 즐길 수... 제주분위기좋은카페 #제주카페추천 #서귀포카페추천 #오렌정원평일방문 #제주나
봉리단길카페,보류,,사계,low,1,78,,,23,22,20251211,972,,,,,수제소세지와 제주 흑돼지 수제잠봉 홈메이드 베이컨과 빵 두조각 아보카도와 방울토마토 딸기잼과... 9338 #김해맛집 #김해카페 #김해봉리단길 #김해봉리단길맛집 #김해봉리단길카페 
바다바라,보류,,중문,high,5,235386,"중문 관광단지에 위치한 베이커리 카페로 카페에서 보이는 오션뷰와 해안선을 따라 펼쳐진 전망이 특징이며, 한라봉빵을 추천한다고 소개됨.",제주 서귀포시 중문관광로72번길 29-51 바다바라 베이커리카페,19,19,20241220,3378,,,,,했는데요 바다바라는 제주 서귀포 오션뷰 카페 답게 중문 바다를 배경으로 사진 촬영하기 괜찮겠어요 팽나무인지는 정확하지 않지만 커다란 고목이 두그루가 있는데 그늘진 좌석이라 야외 공
만월당,보류,,월정리,low,1,837,,,19,19,20260701,5196,,,,,그중에 여행 셋째 날 방문했던 곳은 제주 서귀포시 남원읍 식당 만월당 & 카페 루브린 라운지입니다. 제주 만월당은 서귀포 남원읍에 위치하고 있습니다. 영업시간은 11:30~20:0
네세서리,보류,,제주시내,low,1,3288,,,19,17,20260616,31,,,,,지난 블로그에서 소개드린 #네세서리 제품 제주에서 사진 열심히 찍어봤습니다. 부해보인다는말 취소요. 그냥 제가 부었었나봐요 ^^ 엄청 여리해보이고 다들 이쁘다고 칭찬하심 1. #p
근자씨가게,보류,,종달,low,1,33490,,,17,16,20260701,286,,,,,제주 제주시 구좌읍 종달로1길 48-6 먼저 출발지와 가까운 근자c가게 부터 내비게이션 찍고 도착했는데... 또 내가 아는 근자씨 생각나네... 나 언니 사랑하나바... 뭔가 많은
